userId,role,storeId,scenarioType,arrivalDelayMs,peopleCount,requestMessage,pollCount,pollIntervalMs
e8e3e33b-eb41-4e41-b6ec-49590654b141,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,25,5,알레르기 안내 필요합니다,4,4000
7311a5e7-800a-4c0c-881a-703804759f71,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,43,6,알레르기 안내 필요합니다,3,4000
e1de00a6-f29f-4139-8dea-203e846d8801,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,53,4,알레르기 안내 필요합니다,2,5000
316cb367-34ea-4696-a615-b2aa52980ff6,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,57,6,아이 의자 필요합니다,2,3000
02ea475c-a38e-4612-99b7-cd658d1b9ea0,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,81,2,알레르기 안내 필요합니다,3,5000
3fe25c02-4063-43b9-bad3-8d1229a3389a,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,91,3,창가 자리 가능하면 부탁드립니다,2,5000
5525b978-80fb-4094-ae29-5c5dca65008f,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,95,1,아이 의자 필요합니다,5,4000
55df26d9-deac-4e79-b0f6-11d91914dde1,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,101,3,,2,4000
9650300f-de3b-483d-9d7a-3effca84d42e,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,102,5,아이 의자 필요합니다,4,4000
904c4cc1-723b-4d6d-b39b-90e170b63552,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,127,3,창가 자리 가능하면 부탁드립니다,3,3000
24ac527c-30d7-4c4c-a2aa-4f2e60d1bca7,USER,cc000009-0000-0000-0000-000000000009,NORMAL_REGISTER,138,4,아이 의자 필요합니다,3,5000
6c128717-9685-4c5b-9b25-5bde2668073c,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,143,2,아이 의자 필요합니다,4,4000
f305abdd-d725-474c-b247-f3a062e4d2e8,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,148,4,아이 의자 필요합니다,3,3000
ec3e0052-ebff-403d-8340-24d7b6ff8676,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,157,5,조용한 자리 부탁드립니다,3,4000
98ea32ba-d72a-439e-9667-afb43ab42f4a,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,178,3,입구와 먼 자리 선호합니다,2,4000
d71d4558-87b2-47bc-918c-c10519da907c,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,188,2,조용한 자리 부탁드립니다,3,5000
04ffb8fd-5364-448e-a242-35edbf1602c7,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,220,5,조용한 자리 부탁드립니다,2,4000
458c72be-b0a3-48a5-ac15-a0c5cab3432f,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,232,6,,4,3000
856eb63e-92b9-45b8-8c08-10c51034dadf,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,280,5,아이 의자 필요합니다,5,4000
5b7bac97-d35c-411a-9d78-165801545f97,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,291,3,조용한 자리 부탁드립니다,2,3000
c8e5e4fa-0166-48a0-93b4-84159ca99624,USER,49e778c5-522c-4cfd-86a9-57f5e9b7fab4,POPULAR_REGISTER,310,6,,4,5000
